Actividad Económica,Producto,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023(p), 2024(p),Enero a Marzo 2025(p)
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA","AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",47.37689700000001,52.81523,106.368955,123.47117600000001,155.51719,175.97179200000002,123.64651200000002,122.79667,112.47896899999998,53.46314334,61.2356442,94.15572597,131.58040181999996,171.56295977,159.53732638000002,188.46286930999997,274.38703496000005,288.40513060999996,280.14533028,343.98382081000005,529.62788881,744.96758282,626.2880032300001,477.5450043699999,445.85351030000015,383.5942641099999,434.2342533,364.64766005999996,366.91307514999994,428.63736058,749.0380280400001,559.98675914,514.60861098,85.39618613
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Castaña,11.162018,15.236121,15.773348,18.702121,28.615859999999998,31.091904000000003,30.872128000000007,30.918732000000002,34.065959,27.746143080000003,27.375244600000002,37.886944490000005,53.36341959,75.04944608,70.18674988000001,76.94956393,88.02221036,72.78811904,103.71274066999999,148.37273134000003,145.61997034,129.47812199999998,175.07737806,192.02675055999998,182.71085618,171.40281295999998,221.18884490999997,155.95901080000002,126.50988072000001,157.25432788999998,197.68914848,115.40964768,187.72643290999997,31.96830633
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Semillas y Habas de Soya,15.772639999999999,18.182343999999997,43.174308,46.716184,64.79438900000001,61.588198,47.288426,40.096422,46.458501,1.61451,5.8421359,25.459867180000003,23.192726380000003,33.39004101,15.216214359999999,17.284602920000005,39.696971749999996,51.03772122999999,19.433177539999996,15.39450548,157.9122479,268.25345236999993,89.78392554999998,3.3052422000000004,32.033135,5.5636126400000006,3.33511,4.62101031,7.802476200000001,44.49373606000001,334.97841789,221.70660731,81.10650976999999,
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Quinua,0.586432,0.71007,1.440906,1.613046,1.863058,2.185868,1.8832670000000002,2.7264429999999997,1.801884,2.4113452300000002,2.3284053800000004,3.0853933299999996,4.40816526,5.573332250000001,8.91108041,13.107287,23.0282215,43.15630805000001,46.64820463,63.4458792,79.91608212,153.25948917000002,196.63659669,107.70555202999998,81.43749740999999,74.5204212,81.02748764000002,90.65545728000001,92.41404187000002,61.74387663,46.479760729999995,57.05764688,84.55142502,18.09757165
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Frijoles,,,,2.057119,2.2794499999999998,8.686846,4.578651999999999,7.809792999999999,3.7699169999999995,6.035543970000002,7.14843089,5.935547689999999,8.11914153,9.32388754,9.859987500000003,20.680099759999997,42.31008946,34.273999049999986,35.43174423,27.483310360000004,40.10901614000001,41.06782578999999,24.75576088,18.83116404,34.22573576,13.200485149999997,13.890429499999998,14.11079955,17.353035090000002,13.284400100000001,22.582404309999998,19.56102226,13.560784179999999,1.5021063299999997
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Bananas,0.05864500000000001,0.033079,0.115768,0.17746800000000001,0.37669300000000006,0.25397600000000004,0.31997299999999995,0.870416,1.0678550000000002,1.7351340000000002,2.2362984999999993,3.8189658000000004,5.808510140000001,7.412421469999999,10.061081969999998,10.0668229,12.06050299,13.583686660000001,14.183743429999998,22.381191960000002,24.86902008,30.249337999999998,35.74039524,38.4573572,36.520365,39.24406291,33.36314939999999,29.864732940000003,36.22978758,37.94771746,46.53858727,44.423818819999994,32.9986058,10.473221249999998
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Café sin Tostar,6.280221,3.724481,14.961079999999999,16.742772,16.453830999999997,26.040276000000002,14.951792999999999,13.816192000000001,10.337467999999998,5.824202260000001,6.16572216,6.33957511,9.27503898,11.274951949999998,13.937587359999998,14.410027759999998,15.0112901,15.438937580000001,15.32464647,26.24752552,18.5826547,15.48196881,16.553824210000002,10.161574700000001,7.70657905,9.99909992,9.382652799999999,8.51237093,8.6074641,10.137850280000002,16.28549962,11.702381690000001,15.130033780000002,4.20227813
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Chía,,,,,,,,,,,,,,,,0.50193607,2.3275894299999997,1.1937262999999998,2.38094601,3.39972691,5.5515673,51.38125206,39.61315309999999,44.93774726,26.751983099999997,27.23527622,28.16046329,19.012456580000002,22.2082735,27.153797179999998,23.22657772,26.32632622,25.54196899,4.56401317
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Algodón sin Cardar ni Peinar,6.877490000000001,8.256761000000001,13.875784,29.970564000000003,31.286906,39.262585,15.475058999999998,18.750294,9.628640999999998,2.6567798700000003,2.20764143,1.87210784,4.0696265,3.75323787,3.4052978700000005,3.76963971,2.07293173,0.46921967,,1.01530934,0.71257262,0.42063538,,,,,,,,,0.031983779999999996,,,
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Semillas de Sésamo(ajonjolí),,,,,,,,0.0119,0.182058,0.895729,1.99022556,2.69167136,10.282136020000001,16.57948,13.736287259999997,11.59479966,11.359728460000001,16.984072469999997,11.86252762,15.24661295,8.679360229999999,13.523003619999999,13.01809947,8.675342370000001,8.58647013,7.07256223,9.158858060000002,10.414096309999998,19.255196530000003,23.894630579999998,22.25563154,20.06190073,19.497915300000003,3.3361986000000003
