Actividad Económica,Producto,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023(p), 2024(p),Enero a Marzo 2025(p)
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Maníes,0.573,13.86,198.62300000000002,39.222,9.738,13.376999999999999,197.37799999999996,798.151,117.048,1219.98395,1175.3971999999999,1426.4725,1761.5240400000002,3026.3983999999996,3112.84466,2770.3202199999996,4056.3186399999995,3136.5377999999996,4218.216100000001,5497.49524,7255.10148,6180.17109,7552.93762,9193.12402,8635.02209,8876.46814,11642.750569999998,12669.4925,11455.362140000001,16187.795470000001,18410.380839999998,13130.126600000003,9112.46354,3653.18542
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Semillas de Girasol,183.185,1030.276,1415.2740000000001,268.10400000000004,891.165,389.34499999999997,2881.9189999999994,1202.1929999999998,171.12500000000003,148.3271,574.5631,940.53565,675.3066,451.645,209.74045,6157.661400000001,31248.165000000005,67256.58350000001,16715.46411,871.4504999999999,9380.9725,11948.730300000001,1450.4597999999999,870.1041,516.6173,295.5586,212.6554,239.26549999999997,261.9121,38.9758,332.8463,324.06700000000006,138.6789,0.09
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Frutas y Frutos Comestibles,0.35,22.453,3275.279,666.9730000000001,1002.391,265.57199999999995,865.012,163.68199999999993,336.7179999999999,328.60142,781.6547999999999,1143.4410300000002,3143.04912,3630.57121,4734.366010000002,4356.316329999999,3453.7847599999996,2589.06195,3746.2247799999986,4295.76873,3633.97773,3316.7237299999993,4751.8939199999995,6565.5993499999995,5357.884429999999,3129.8896399999985,756.7546599999998,804.5897699999999,2690.3595699999996,1793.6140599999999,349.4693000000001,366.44117000000006,326.84272,28.05616
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Cacao en Grano,73.36,181.7,244.64999999999998,154.37,117.05999999999999,205.0,174.32999999999998,129.315,197.95499999999998,160.69,174.12,194.22,262.975,267.03999999999996,303.86,273.37,164.95,338.27,724.8,555.3054500000001,395.40092,241.4545,92.2,228.275,145.206,216.91209999999998,254.85750000000002,208.20959999999997,216.01899999999995,191.173,174.22400000000002,402.227,1931.7721000000001,183.74
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Flores,197.122,208.94100000000003,415.48499999999996,258.981,294.54200000000003,202.24900000000002,296.01599999999996,277.1459999999999,170.77700000000004,117.88050000000001,66.18130000000001,43.31349999999999,7.7702,17.4007,14.4111,9.0856,1.26225,1.5744999999999996,10.83,22.376,22.86996,10.180649999999998,3.30675,0.21,0.106,2.36,,,,0.15361000000000002,,,0.0968,0.413
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Ganado Vacuno,,960.0,3706.0,,690.0,920.0,934.88,1150.0,238.18,,1085.5,133.0,,,,,,,,,,,,,,,,,,,,,,
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Maderas sin Aserrar,108.0,,,1043.334,2997.721,3487.489,365.0,124.0,159.81699999999998,243.76500000000001,94.69800000000001,1176.8,841.758,774.865,1077.48,1061.54279,869.3224999999999,249.41299999999998,123.114,165.6504,80.07900000000001,71.345,67.045,1.54077,15.424,,,,,,,,,
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Cueros en Bruto,11.408,285.929,,5.0,0.04,45.442,0.42,28.747999999999998,,453.125,937.3469999999999,369.5,35.66109,12.74273,53.71191,,0.09,23.3354,116.561,89.344,0.5343300000000001,,0.0203,0.02555,,,,,15.1888,10.889,18.140099999999997,10.0443,21.502200000000002,
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Pesca,404.961,426.597,116.56099999999999,27.095000000000002,9.596,5.718999999999999,20.810000000000002,1.0,,,,,,0.718,0.226,0.203,0.039,,,,,,,,,,,,,,,,,
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Otros Productos Agropecuarios,7388.7400000000025,2613.2870000000003,12531.416000000005,3428.004000000001,13006.809000000001,2956.3609999999994,6331.834000000003,5307.347,2022.1250000000018,2088.915049999999,1346.0402000000006,2127.100119999999,4234.820240000002,5151.327419999996,35335.28953000001,35751.94933999999,104932.79431000006,78536.43725999999,146195.31330999997,4964.55258,29735.32007000001,28758.98308000001,12389.43957000001,25229.06229999998,9414.065270000008,16781.934429999994,24747.18168,21206.427850000004,16261.654800000002,32238.59266,8284.22169,8840.63998,15682.722010000001,1291.2052899999999
