País,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022, 2023(p),2024(p),Enero a Marzo 2025(p)
Brasil,43762.286,42340.383,72727.066,36584.239,40993.435999999994,53757.079999999994,43427.293,583799.747,1767450.8790000002,3281214.75817,4068555.5206199996,4706186.78947,6332004.23907,7141639.19921,7602816.294340001,8013539.444300001,8722528.01092,6364087.2963,7664964.68486,7671635.891650001,7887654.75682,8945769.32489,9156201.79961,8910538.862769999,7948105.591770001,6743728.8493099995,6358805.33503,5372678.894410001,5230007.5845,5910545.60314,5316699.68808,4913356.213749999,4573156.71082,1033797.7354600005
Brunei Darussalam,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,19.737,,,15.5,,,0.172,,,0.0178,,285.25440000000003,,1824.27999,49.0,88.0,212.557,49.704,7.70706,17.34,110.928,104.4505,75.968,26.0,64.63154,12.06312,37.62223,11.10247
Bután,,,,,,,,,,,17.242,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,0.06,,,,,0.96,,,,,,,,,,,25.009369999999997,,
"Caimán, Islas",,,,,,,,2225.275,,,,,,,,,,,,,,,30.91845,,,,,,,,,,,
Camboya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,126.683,50.478
"Camerún, Republica Unida Del",,,,,,,,,,,,,,,,,,,19.124,,,,,4400.0,,,,,,6907.87,154.0,,132.0,
Canadá,95.275,1652.4779999999998,2611.5159999999996,2239.121,6207.869999999998,5549.415000000001,5245.148,6623.13,5754.852000000001,9037.782439999999,5872.053649999999,3143.28093,7787.559569999999,12040.553649999998,18109.60939,88190.14759000001,40631.43791,25222.238440000005,20754.71168,39939.71492,26044.66735,47798.432160000004,70667.541,32427.055340000003,52436.74642000001,47257.85236999999,56409.113130000005,36780.32964,14994.47033,28120.300370000004,23449.12819,21887.2648,8649.34758,1843.4387999999997
"Cocos (Keeling), Islas",,,,,,,,,,,,,,,0.54,1.439,0.24,,,,,,,,,,,,,,,,,
Colombia,95537.069,139634.535,227905.634,278844.045,439873.926,289376.29099999997,252523.765,462633.751,688660.2330000001,728635.9973500001,566110.47518,543204.71855,296913.90843999997,560174.33208,516239.30249000003,389233.64447999996,341868.19912,598269.0707600001,407154.43964999996,407097.37763,631612.78616,1158424.9292600001,1140296.48395,1178856.09433,1332445.2461,963410.25171,860986.5732299999,917961.10778,842412.1401599998,1233809.9532700002,1430423.90546,1694253.6787999999,980941.37061,112548.19436999995
Comoras,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Republica Del",,,,,,,,,,,,,,,,,,53.15656,21.81377,,,,,,,,,25.0,196.86083,258.5162,352.5,320.00827000000004,282.0,
Corea (Norte).Republica Popular Democrática De,,194.091,945.15,31.09,9.555,32.194,14.631,4442.441,9.787,16.75,1.131,27.948999999999998,50.158,168.178,10.5,0.007,24.671,266.052,93.68299999999999,24.907,,,,,20.355,200.0,,589.21705,451.20486999999997,,,,,
Corea (Sur). Republica De,57.157999999999994,2318.285,6058.817,269.397,167.08900000000003,248.055,6206.963999999999,175.905,1211.4569999999999,1034.6438,3482.915949999999,25937.97409,69137.70304,64422.71903000001,17548.05479,75984.73355,486813.22574,379912.21083999996,181973.93083000003,207532.45324000003,183516.34136999998,158319.84990000003,272526.95087,150383.20502999998,164046.0457,208039.80865,193459.74184,124964.26584,81665.09488,131612.54942,153587.47959,115747.70701,120506.11545,19164.507790000003
Costa Del Marfil,,,,,,,,,,,,,,,,,,,,26.456,,,,,,,,,47.0,70.5,,235.0,637.60515,170.7
Costa Rica,300.0,15.094000000000001,,0.21,141.76899999999998,13.761,6.3580000000000005,22.189,36.737,55.897,30756.13026,22.008499999999998,196.48919,12197.686000000002,137.95969000000002,2237.09207,1367.3642200000004,5599.39615,1522.74323,1032.61078,967.3078899999999,1420.33362,614.6812600000001,1431.93187,981.08403,3042.8835400000003,2090.18371,2363.8110199999996,2833.25027,12460.417040000002,2581.71648,2923.38654,2061.28273,762.21172
Croacia,,5.7,,,35.6,,,,,0.382,0.14,0.242,0.104,,,16.793999999999997,20.0,19.242,97.76400000000001,49.66,19.047,,182.4,1241.802,496.0,164.353,612.3766,209.66500000000002,237.475,25.0,,215.96800000000002,112.46474,
Cuba,,0.15,15.969999999999999,,,,,280.026,44.258,2.73257,0.007,33.0097,16.26134,3.4939999999999998,,96.709,437.38348999999994,794.5332899999999,3465.76924,272.09015999999997,349.46088000000003,1649.60538,252.486,147.49317,81.507,139.81918,62.49722000000001,10862.405859999999,4235.85981,179.86679999999996,47.21588,129.11743,119.08206,77.41591
Checoslovaquia,17.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,43007.615000000005,32562.346999999994,59285.21000000001,68432.992,113485.011,153399.10199999998,89001.759,72084.605,65599.592,81368.52789999999,117392.80698000002,191259.19123,163858.83677,96729.88228000002,145916.20176,173967.85196000003,157863.13539999997,185614.24004,194764.53734,240511.51241000002,369913.66432999994,257909.54744000002,168601.79407000003,171362.71401,191205.23805,176176.84527999998,221659.62884999998,232204.85507,218110.50452,337100.28543000005,503529.11720000004,289270.36802,254815.85570999995,38024.65829999999
China,0.236,0.07,276.629,60.3,107.947,137.978,272.77200000000005,1379.191,2290.634,2305.2281,4093.8314100000007,8852.68654,21466.4043,17255.44842,37023.31094,39665.38567999999,89143.63672,85570.81235,132530.54168999998,144185.52169,116527.82282000003,169228.90369999997,270434.15253,522817.27009,355341.87631,344061.09897,345569.86400999996,305823.59426,259192.87615999999,357484.01983999996,369566.73069000005,399791.12314000004,447152.28164000006,83258.46147999998
Taiwán,12.0,341.09000000000003,394.16200000000003,523.1379999999999,239.373,318.64300000000003,98.508,120.285,256.663,14.89,99.3126,18.9,405.80159000000003,1181.633,638.5029999999999,2142.03988,832.8993499999999,1046.95616,4697.016500000001,10588.913999999999,5973.915999999999,9814.8726,4852.492990000002,1288.885,2844.8089,9024.710310000002,18114.913,5222.6106,2828.4184999999998,26267.1402,12940.026420000002,14886.325,13676.576000000003,3632.92
Chipre,99.03,105.599,26.21,17.5,30.81,0.21,,,0.285,,,,,195.596,0.893,19.0,,22.652,,0.04115,,,,,,,24.3,,,,,,,
Benín,,,,,,,,,,,,11.07,,,,,,27.017960000000002,245.41,69.301,33.872,,,,,,,,,,,,,
Dinamarca,1.4500000000000002,7.204,35.017,20.631,1.8490000000000002,36.097,59.406,17.721000000000004,80.293,434.01519999999994,70.64755000000001,742.72965,472.19966000000005,1122.9090099999999,2868.25254,1148.92326,112.58639000000001,290.46647,102.93916999999999,222.88849,243.43867999999998,1034.02465,976.13903,989.38689,1016.89575,470.45139,67.22063999999999,301.91656,446.52554999999995,474.34761,173.48806,603.48236,333.0288,5.1490599999999995
Dominica,,,,,,,,,,,,8.8125,,,,,,,25.0,,,,,,,,,,,10.68791,,,,
Ecuador,9802.791000000001,20053.827,35844.674,28312.962999999996,26989.854000000003,8633.096000000001,67176.533,27643.696999999996,16242.721000000001,24746.90727,2782.9403500000003,45572.71537,26326.551859999996,3747.3792,30380.25398,39343.26961,8946.85313,41873.38122999999,67229.87173,74732.06507,293389.60321,218393.71452,167126.54465,237483.61036000002,143766.58093,228246.428,330663.0529,282158.27154,311095.68721999996,296154.04167999997,293211.12820000004,297915.96282,268239.45287000004,25725.058830000005
Egipto,,27.1,,26.381,37.114,125.678,195.42800000000003,216.71000000000004,373.26899999999995,227.094,513.35,246.42200000000003,5370.868,280.168,237.502,207.84567,226.44502999999997,227.06500000000003,218.88754999999998,101.306,110.868,4631.247,64.12,58.381640000000004,0.0315,,0.998,40.0,,,,,,
El Salvador,0.071,,17.458,0.427,,0.088,21.882,41.413000000000004,1.7770000000000001,,,8.2798,31453.55150000001,138.94077,148.36829,123.10553999999999,3220.4290400000004,1272.84057,96.54772,265.4441,62.54647,175.57000000000002,158.05653,450.22074,157.54441999999997,237.35712000000004,405.06138999999996,245.30342,2368.8047100000003,324.94335,1542.4067799999998,731.7027899999998,679.60862,157.68998
